input_store_id,1,2,3,4,5,6,7,8,9,10
8707,5773,11416,8513,5420,375,17792,10852,3794,6684,16327
8780,5653,13469,15441,15117,6110,5307,7198,13806,4445,8477
8836,1594,7087,8838,14670,212,18432,13877,342,10033,13522
8877,11200,11691,7410,4648,4780,10120,11431,8188,18395,3594
8904,65,5371,15889,8668,337,3565,9262,8906,7234,18427
8910,4037,3737,16220,16733,11718,6553,4145,9278,3574,16468
8998,4371,5600,10350,3967,14932,1943,2985,4210,16453,12025
9000,9507,13361,9169,18057,3013,16620,14537,13552,14042,9720
9085,14391,17484,1792,13984,16610,16177,7023,16828,6753,14344
9187,7599,9116,6193,14,18356,285,16151,15042,1064,3929
9351,17754,14274,16707,10396,17361,3200,11221,8412,10235,13886
9538,12003,5451,18369,10142,10577,14264,9149,5038,18218,7593
9646,3411,4394,8047,15000,14110,3086,14434,8348,5637,2704
9747,395,10204,1873,6939,7369,961,1519,11106,6133,11811
9748,11896,4127,14037,10401,14970,4406,13943,6693,6697,17837
9897,6110,93,6821,7386,956,1187,16798,8791,18224,17588
10067,11444,4668,15595,13922,5047,16662,11358,14764,8958,10396
10119,18154,5957,9250,15271,11279,7322,11981,6143,14853,2516
10215,14936,6783,1753,5047,13994,1871,4999,4926,2519,3737
10271,15132,1836,11742,4200,17387,17674,12128,17430,14877,11958
10272,10142,1914,6910,8376,11383,16462,13732,8813,18295,9435
10273,16574,1063,2247,16058,5875,1634,4166,8700,1817,15521
10274,16580,17701,936,11237,10871,6163,9094,8531,13591,14336
10309,6871,15365,5461,1372,10574,8975,16384,16188,3309,1360
10337,16459,4438,10862,14071,4732,5992,4406,1595,3361,7179
10375,10950,14634,11771,17818,3919,11767,13851,18268,11223,7631
10439,11929,10180,17464,8146,1839,17539,990,11414,9720,5449
10461,17466,14529,7134,14162,17640,9310,17826,11845,10996,8210
10477,7053,13818,16229,9575,11975,3418,14202,14720,15171,10663
10519,2194,7335,10380,14838,15198,14999,9349,16462,10470,13138
10550,8771,11022,11716,11742,4873,1836,5496,15309,9260,1605
10573,7269,11237,15927,8460,14181,11311,7664,3221,10871,15985
10594,2563,9582,17487,18307,7368,12121,300,9443,11757,10093
10617,4976,17973,16750,16356,13824,17502,18350,13492,15400,5044
10633,11845,16473,17833,9712,4159,13368,10993,5330,6219,1792
10739,14797,11260,5041,10476,14764,11358,14842,17754,7229,16707
10740,4657,5047,99,5614,16236,2420,4845,10264,7106,15511
10744,3052,10795,5709,16516,1462,14873,15259,3559,18045,1529
10764,8516,2141,14037,14238,10297,8113,11157,17839,11845,10615
10840,3898,13046,5018,15981,5198,15596,10735,15463,9370,11984
10914,14434,9582,8348,17928,17430,8450,17306,15866,15224,17833
10991,11506,5927,3695,12082,3579,17307,5961,3044,8789,6245
11020,5234,8906,553,7185,6437,10447,9873,16261,3387,2540
11052,7464,10011,15555,9457,751,10652,15042,8434,7093,9116
11061,6831,15255,16096,7631,3616,11160,17490,17392,10371,7044
11099,4410,5431,17484,7211,4067,7170,6753,14023,1510,17261
11106,17771,5709,11415,4489,9891,8566,356,5306,9501,13152
11115,17265,13577,17295,6141,9708,15625,9336,8077,9716,12034
11172,8745,2556,10736,7335,7043,10863,7657,11637,10470,13388
11210,17556,13193,11223,10950,14559,17748,8626,4511,16906,4553
11324,10467,7264,7546,3576,9381,18394,6031,13104,15674,14621
11343,16439,14141,17543,6820,8971,11638,7376,11920,14818,11447
11371,10371,15033,17392,4768,8166,4438,10223,7175,11132,11828
11480,18461,8992,12121,6919,14746,10675,3788,1769,9250,7026
11506,10991,5927,12082,8789,3695,3579,18244,17307,3111,3044
11530,8771,13097,11742,18112,10399,18344,15156,10162,8374,17485
11531,15741,10597,9559,8183,1040,10000,1529,6939,4575,16516
11640,5047,9351,14274,17427,5454,15595,15671,14764,10396,9535
11688,15261,5315,16156,5271,17581,7100,8727,8110,5697,11890
11694,1034,14703,7385,3616,6831,5268,10238,7358,4735,5895
11707,17388,8655,6941,14720,9443,12022,15950,12168,8954,10523
11714,9199,15761,1065,6400,455,17460,10204,2505,8035,4346
11743,13348,6246,8868,14229,3687,14365,13383,13079,10579,11801
11748,8703,3329,4172,16289,17695,5062,5690,7549,15162,15535
11786,11024,356,6452,5669,5539,18036,17503,15331,10733,12181
11793,5114,2453,7564,2335,15761,977,15295,10204,6087,13084
11813,17591,9121,11205,3909,16239,15915,16501,7778,10684,11624
11823,4130,10929,3342,8042,13492,5044,8938,11492,17894,8967
12054,17805,11921,15991,3103,14110,18084,15420,14434,8348,16021
13010,9260,16549,14551,13664,6048,14856,11812,10614,8090,8564
13011,15596,1614,5106,16311,14505,10765,7074,15147,11131,3868
13012,9539,6583,13044,15403,7074,13060,1005,3565,7106,2082
13159,6730,15339,8168,3177,15377,16803,5515,11690,285,18080
13194,15877,1406,8896,8509,13205,5878,3361,12108,9323,1483
13201,17754,15914,11055,16648,15430,7229,10117,16768,14478,8415
13209,4422,15446,4451,16362,6334,831,4635,14238,3229,2517
13218,7428,7211,17547,11416,9096,4307,14235,4287,8513,10988
13246,15243,11444,15595,13227,13922,3200,5710,14999,7974,14664
13258,8446,8781,9988,16101,6143,8546,13149,8909,4266,10597
13273,902,194,4964,736,6209,4607,9852,8446,11869,1194
13290,4560,9552,15416,11357,14454,11232,11463,6119,10583,11362
13294,249,985,6757,14943,3775,18167,7001,10220,15731,5324
13320,6903,15893,5892,14853,9144,18154,13940,16366,17661,4637
13351,9753,15575,1839,8240,3546,14539,3278,1116,11549,9234
