store_id,prov_namt,latitude,longitude
1025,กรุงเทพมหานคร,13.83872400011256,100.5753179999258
1026,ปทุมธานี,14.03654499995184,100.733520000148
1028,ตรัง,7.567872953074357,99.61409352109916
1032,กรุงเทพมหานคร,13.71962499999381,100.4420609998153
1033,กรุงเทพมหานคร,13.76838999959887,100.7212879999413
8396,กรุงเทพมหานคร,13.78469997112683,100.6681103903822
1034,ฉะเชิงเทรา,13.48988600043862,101.0235399997712
1035,ราชบุรี,13.81399222116414,99.87338955628304
8572,กรุงเทพมหานคร,13.74838433786692,100.5837872924496
1039,กรุงเทพมหานคร,13.7098748552404,100.5268335807053
1040,ตรัง,7.55376000012393,99.61019999983016
8573,ชลบุรี,13.39500800031902,101.0321189996922
1041,นครศรีธรรมราช,8.4382352419629,99.97040727107878
1043,ชัยนาท,15.26195600026926,100.0388459998431
8686,กรุงเทพมหานคร,13.6812735974986,100.3360786567047
1046,กรุงเทพมหานคร,13.73078100004318,100.58629099963
1053,พิจิตร,16.16810699973831,100.5784769999137
8699,กรุงเทพมหานคร,13.70864700005904,100.3545129995753
1056,เพชรบูรณ์,15.6609060032095,101.1113272871246
1058,ปทุมธานี,13.98569799966299,100.6260660001458
8700,กรุงเทพมหานคร,13.69503800020362,100.334835000435
1059,ลำปาง,18.28721877072974,99.50149647458272
1062,กรุงเทพมหานคร,13.76437100042136,100.5563330003677
1063,ปทุมธานี,14.11931600023326,100.6047629998126
1064,กรุงเทพมหานคร,13.77356299983262,100.5421150003071
1065,มหาสารคาม,16.19543700011752,103.2774959996407
1068,กรุงเทพมหานคร,13.73509700032633,100.5224819996446
1423,ชุมพร,10.13591022577634,99.09198799465032
1070,กรุงเทพมหานคร,13.71310799983439,100.5708620003811
8701,กรุงเทพมหานคร,13.71795128432439,100.345320287901
1072,กรุงเทพมหานคร,13.64916700005705,100.4189479996505
1079,บุรีรัมย์,15.004978509051,103.1004148707498
8719,ฉะเชิงเทรา,13.55678344859734,100.9593042759716
1083,นนทบุรี,13.8880759998076,100.4605659997212
1087,ตรัง,7.409632999663245,99.50924500005677
8833,สระบุรี,14.5239680655738,100.906686756089
1090,ชลบุรี,13.16636299995253,100.9323859996143
1095,กรุงเทพมหานคร,13.82451999979821,100.6175040001096
8935,สมุทรปราการ,13.65328900308509,100.5240651805637
1097,สงขลา,7.023504999855902,100.4700419996386
1098,สกลนคร,17.19034949553281,104.0973304702251
8936,สมุทรปราการ,13.59109605244089,100.4977310795258
1100,กรุงเทพมหานคร,13.81026399978378,100.6489699996658
1101,ลำปาง,18.30859789237888,99.46688552874424
8957,กรุงเทพมหานคร,13.72550353725848,100.5341487255833
1104,มุกดาหาร,16.54167878744613,104.7303539225955
1109,กรุงเทพมหานคร,13.67824935912068,100.3452999857058
9053,ปราจีนบุรี,13.90476548344037,101.5592189893649
1111,กรุงเทพมหานคร,13.74213600027622,100.4963119996991
1112,กรุงเทพมหานคร,13.7634860000789,100.5448139997664
9061,นนทบุรี,13.85463700009751,100.5395770001785
1114,นนทบุรี,13.80284300020435,100.4771550003031
1116,กรุงเทพมหานคร,13.67180273091134,100.4975148303452
9108,ชลบุรี,13.03583424525425,101.0780876671122
1117,นครปฐม,13.81555174361813,100.0652715682284
1118,สระบุรี,14.5232920002257,100.9182499997378
9138,กรุงเทพมหานคร,13.80301914321893,100.5664904489751
1122,ขอนแก่น,16.43488599958926,102.835904999816
1125,อุดรธานี,17.41672866389678,102.7915633183925
9226,ชลบุรี,12.91409572593704,100.8854445130539
1126,อุดรธานี,17.40929030380454,102.7754451434786
1127,ขอนแก่น,16.42848400023649,102.8499330001079
1128,ขอนแก่น,16.42786599961624,102.8334479998254
1136,ขอนแก่น,16.4276149997325,102.8633130001949
1139,หนองบัวลำภู,17.20911300016485,102.4387610001201
9229,ระยอง,12.99522031936232,101.0993607703833
1140,ขอนแก่น,16.46434700021393,102.8284240001676
1142,พิจิตร,16.48956799956358,100.479840000016
9242,ชลบุรี,13.28866343187195,100.9268761421203
1143,นนทบุรี,13.85408203295952,100.5187591786932
1145,กรุงเทพมหานคร,13.79735316881374,100.7116671237388
9411,กรุงเทพมหานคร,13.7320671178033,100.3751115042925
1146,กรุงเทพมหานคร,13.75385941587939,100.5420591416162
1147,สระแก้ว,13.74378800001625,102.3222749999913
9427,มหาสารคาม,16.25056163920834,103.2596276522944
1148,เชียงราย,20.44284699988918,99.88144499968706
1150,ชลบุรี,12.96020599970717,100.8942160002683
9444,ปราจีนบุรี,13.90880993253239,101.5718084125283
1151,กาญจนบุรี,14.0128079997894,99.53469700016647
1152,อุดรธานี,17.40354171317955,102.7997375631381
1177,นครศรีธรรมราช,9.215059141066549,99.86015479220993
1178,กรุงเทพมหานคร,13.85683799997378,100.6427790001508
1182,กรุงเทพมหานคร,13.74163146082333,100.5882048369837
9450,สมุทรปราการ,13.55736864284864,100.6756457774308
1185,กรุงเทพมหานคร,13.7659769998387,100.5381530001609
1187,กรุงเทพมหานคร,13.73706200011128,100.4327910004044
1188,กรุงเทพมหานคร,13.77494199957368,100.6767910002046
1189,จันทบุรี,13.12591499987741,102.214128000407
1194,กรุงเทพมหานคร,13.78504944317729,100.5675034920926
9553,ชลบุรี,13.41440299989858,101.023981000323
1195,นนทบุรี,13.82243900005983,100.5056670003319
1196,ขอนแก่น,16.42553600008637,102.8335330001479
9655,สมุทรสาคร,13.71375578869873,100.3073553528673
1202,กรุงเทพมหานคร,13.73594581914426,100.5883783809576
1205,กรุงเทพมหานคร,13.72625900015277,100.5511349998804
