,grid_lon_id,grid_lat_id,green,orange,store_id
0,0,0,0.0,0.0,153-OPRCD107217
1,0,1,0.0,0.0,153-OPRCD107217
2,0,2,0.0,0.0,153-OPRCD107217
3,0,3,0.0,0.0,153-OPRCD107217
4,0,4,0.0,0.0,153-OPRCD107217
5,0,5,0.09779682889901468,0.0,153-OPRCD107217
6,0,6,0.0989610768620982,0.0,153-OPRCD107217
7,0,7,0.0,0.0,153-OPRCD107217
8,0,8,0.0,0.0,153-OPRCD107217
9,0,9,0.0,0.0,153-OPRCD107217
10,0,10,0.0,0.0,153-OPRCD107217
11,0,11,0.0,0.0,153-OPRCD107217
12,0,12,0.0,0.0,153-OPRCD107217
13,0,13,0.0,0.0,153-OPRCD107217
14,0,14,0.0,0.0,153-OPRCD107217
15,0,15,0.0,0.0,153-OPRCD107217
16,1,0,0.0,0.0,153-OPRCD107217
17,1,1,0.0,0.0,153-OPRCD107217
18,1,2,0.0,0.0,153-OPRCD107217
19,1,3,0.0,0.0,153-OPRCD107217
20,1,4,0.0,0.0,153-OPRCD107217
21,1,5,0.1418054019035713,0.0,153-OPRCD107217
22,1,6,0.26498283639780645,0.0,153-OPRCD107217
23,1,7,0.0,0.0,153-OPRCD107217
24,1,8,0.0,0.0,153-OPRCD107217
25,1,9,0.0,0.0,153-OPRCD107217
26,1,10,0.0,0.0,153-OPRCD107217
27,1,11,0.0,0.0,153-OPRCD107217
28,1,12,0.0,0.0,153-OPRCD107217
29,1,13,0.0,0.0,153-OPRCD107217
30,1,14,0.0,0.0,153-OPRCD107217
31,1,15,0.0,0.0,153-OPRCD107217
32,2,0,0.0,0.0,153-OPRCD107217
33,2,1,0.0,0.0,153-OPRCD107217
34,2,2,0.0,0.0,153-OPRCD107217
35,2,3,0.0,0.0,153-OPRCD107217
36,2,4,0.0,0.0,153-OPRCD107217
37,2,5,0.15647492623842352,0.0,153-OPRCD107217
38,2,6,0.27802241358434177,0.0,153-OPRCD107217
39,2,7,0.0,0.0,153-OPRCD107217
40,2,8,0.0,0.0,153-OPRCD107217
41,2,9,0.0,0.0,153-OPRCD107217
42,2,10,0.0,0.0,153-OPRCD107217
43,2,11,0.0,0.0,153-OPRCD107217
44,2,12,0.0,0.0,153-OPRCD107217
45,2,13,0.0,0.0,153-OPRCD107217
46,2,14,0.012341028408685187,0.0,153-OPRCD107217
47,2,15,0.07986741026752867,0.0,153-OPRCD107217
48,3,0,0.0,0.0,153-OPRCD107217
49,3,1,0.0,0.0,153-OPRCD107217
50,3,2,0.0,0.0,153-OPRCD107217
51,3,3,0.0,0.0,153-OPRCD107217
52,3,4,0.0,0.0,153-OPRCD107217
53,3,5,0.01839511781671943,0.0,153-OPRCD107217
54,3,6,0.3837361286323243,0.0,153-OPRCD107217
55,3,7,0.0,0.0,153-OPRCD107217
56,3,8,0.0,0.0,153-OPRCD107217
57,3,9,0.0,0.0,153-OPRCD107217
58,3,10,0.0,0.0,153-OPRCD107217
59,3,11,0.0,0.0,153-OPRCD107217
60,3,12,0.0,0.0,153-OPRCD107217
61,3,13,0.08685289804602972,0.0,153-OPRCD107217
62,3,14,0.14599669457067194,0.0,153-OPRCD107217
63,3,15,0.0069854877785010495,0.0,153-OPRCD107217
64,4,0,0.0,0.0,153-OPRCD107217
65,4,1,0.0,0.0,153-OPRCD107217
66,4,2,0.0,0.0,153-OPRCD107217
67,4,3,0.0,0.0,153-OPRCD107217
68,4,4,0.0,0.0,153-OPRCD107217
69,4,5,0.0,0.0,153-OPRCD107217
70,4,6,0.3543970799626199,0.0,153-OPRCD107217
71,4,7,0.0,0.0,153-OPRCD107217
72,4,8,0.0,0.0,153-OPRCD107217
73,4,9,0.0,0.0,153-OPRCD107217
74,4,10,0.02118931292811985,0.0,153-OPRCD107217
75,4,11,0.1285329751244193,0.0,153-OPRCD107217
76,4,12,0.13412136534722013,0.0,153-OPRCD107217
77,4,13,0.043077174634089804,0.0,153-OPRCD107217
78,4,14,0.0,0.0,153-OPRCD107217
79,4,15,0.0,0.0,153-OPRCD107217
80,5,0,0.0,0.0,153-OPRCD107217
81,5,1,0.0,0.0,153-OPRCD107217
82,5,2,0.0,0.0,153-OPRCD107217
83,5,3,0.0,0.0,153-OPRCD107217
84,5,4,0.0,0.0,153-OPRCD107217
85,5,5,0.0,0.0,153-OPRCD107217
86,5,6,0.2838436533997593,0.0039584430744839276,153-OPRCD107217
87,5,7,0.056349601413241794,0.0,153-OPRCD107217
88,5,8,0.08568865008294621,0.0,153-OPRCD107217
89,5,9,0.13318996697675334,0.0,153-OPRCD107217
90,5,10,0.11432914997480051,0.0,153-OPRCD107217
91,5,11,0.004424142259717331,0.0,153-OPRCD107217
92,5,12,0.0,0.0,153-OPRCD107217
93,5,13,0.0,0.0,153-OPRCD107217
94,5,14,0.0,0.0,153-OPRCD107217
95,5,15,0.0,0.0,153-OPRCD107217
96,6,0,0.0,0.0,153-OPRCD107217
97,6,1,0.007916886148967855,0.0,153-OPRCD107217
98,6,2,0.08592149967556291,0.0,153-OPRCD107217
99,6,3,0.1273687271613358,0.0,153-OPRCD107217
100,6,4,0.12830012553180262,0.0,153-OPRCD107217
101,6,5,0.10152242238088191,0.02002506496503634,153-OPRCD107217
102,6,6,0.20234629598391374,0.023052109669053463,153-OPRCD107217
103,6,7,0.08242875578631238,0.05099406078305766,153-OPRCD107217
104,6,8,0.03795448359652237,0.0,153-OPRCD107217
105,6,9,0.0,0.0,153-OPRCD107217
106,6,10,0.0,0.0,153-OPRCD107217
107,6,11,0.0,0.0,153-OPRCD107217
108,6,12,0.0,0.0,153-OPRCD107217
109,6,13,0.0,0.0,153-OPRCD107217
