,grid_lon_id,grid_lat_id,green,orange,red,store_id
0,0,0,0.0,0.0,0.0,153-OPRCD102601
1,0,1,0.0,0.0,0.0,153-OPRCD102601
2,0,2,0.0,0.0,0.0,153-OPRCD102601
3,0,3,0.030503296632787915,0.03096899581802132,0.0,153-OPRCD102601
4,0,4,0.0,0.0,0.0,153-OPRCD102601
5,0,5,0.0,0.0,0.0,153-OPRCD102601
6,0,6,0.0,0.0,0.0,153-OPRCD102601
7,0,7,0.0,0.0,0.0,153-OPRCD102601
8,0,8,0.06729353226622678,0.08568865008294621,0.02118931292811985,153-OPRCD102601
9,0,9,0.0,0.006286939000650945,0.0,153-OPRCD102601
10,0,10,0.0,0.0,0.0,153-OPRCD102601
11,0,11,0.0,0.0,0.0,153-OPRCD102601
12,0,12,0.0,0.0,0.0,153-OPRCD102601
13,0,13,0.0,0.0,0.0,153-OPRCD102601
14,0,14,0.0,0.0,0.0,153-OPRCD102601
15,0,15,0.0,0.0,0.0,153-OPRCD102601
16,1,0,0.0,0.0,0.0,153-OPRCD102601
17,1,1,0.0,0.0,0.0,153-OPRCD102601
18,1,2,0.0,0.0,0.0,153-OPRCD102601
19,1,3,0.08708574763864642,0.06123944285819253,0.0,153-OPRCD102601
20,1,4,0.06007519489510903,0.0,0.0,153-OPRCD102601
21,1,5,0.061472292450809235,0.0,0.0,153-OPRCD102601
22,1,6,0.02701055274353739,0.033064642151571635,0.0,153-OPRCD102601
23,1,7,0.0,0.07870316230444516,0.016765170668402517,153-OPRCD102601
24,1,8,0.13994260516263768,0.16322756442430786,0.04028297952268938,153-OPRCD102601
25,1,9,0.0034927438892505248,0.11037070690031658,0.0,153-OPRCD102601
26,1,10,0.0568153005984752,0.05448680467230818,0.0,153-OPRCD102601
27,1,11,0.060308044487725726,0.0565824510058585,0.0,153-OPRCD102601
28,1,12,0.0037255934818672264,0.06007519489510903,0.0,153-OPRCD102601
29,1,13,0.0,0.060308044487725726,0.0,153-OPRCD102601
30,1,14,0.04866556485689064,0.012108178816068486,0.0,153-OPRCD102601
31,1,15,0.028873349484471005,0.0,0.0,153-OPRCD102601
32,2,0,0.0,0.0,0.0,153-OPRCD102601
33,2,1,0.0,0.0,0.0,153-OPRCD102601
