,grid_lon_id,grid_lat_id,green,orange,red,store_id
104,6,8,0.0,0.2645171372125731,0.0,153-OPRCD10005
105,6,9,0.0,0.0,0.0,153-OPRCD10005
106,6,10,0.0,0.0,0.0,153-OPRCD10005
107,6,11,0.0,0.0,0.0,153-OPRCD10005
108,6,12,0.0,0.0,0.0,153-OPRCD10005
109,6,13,0.0,0.0,0.0,153-OPRCD10005
110,6,14,0.0,0.0,0.0,153-OPRCD10005
111,6,15,0.0,0.0,0.0,153-OPRCD10005
112,7,0,0.0,0.0,0.0,153-OPRCD10005
113,7,1,0.0,0.0,0.0,153-OPRCD10005
114,7,2,0.0,0.0,0.0,153-OPRCD10005
115,7,3,0.0,0.0,0.0,153-OPRCD10005
116,7,4,0.0,0.0,0.0,153-OPRCD10005
117,7,5,0.0,0.0,0.0,153-OPRCD10005
118,7,6,0.0,0.0,0.0,153-OPRCD10005
119,7,7,0.0,0.0,0.0,153-OPRCD10005
120,7,8,0.0,0.2975817793641447,0.0,153-OPRCD10005
121,7,9,0.0,0.0,0.0,153-OPRCD10005
122,7,10,0.0,0.0,0.0,153-OPRCD10005
123,7,11,0.0,0.0,0.0,153-OPRCD10005
124,7,12,0.0,0.0,0.0,153-OPRCD10005
125,7,13,0.0,0.0,0.0,153-OPRCD10005
126,7,14,0.0,0.0,0.0,153-OPRCD10005
127,7,15,0.0,0.0,0.0,153-OPRCD10005
128,8,0,0.06123944285819253,0.001164247963083508,0.0,153-OPRCD10005
129,8,1,0.056116751820625095,0.0,0.0,153-OPRCD10005
130,8,2,0.0,0.0,0.0,153-OPRCD10005
131,8,3,0.0,0.0,0.0,153-OPRCD10005
132,8,4,0.0,0.0,0.0,153-OPRCD10005
133,8,5,0.0,0.0,0.0,153-OPRCD10005
134,8,6,0.0,0.0,0.0,153-OPRCD10005
135,8,7,0.0,0.0,0.0,153-OPRCD10005
136,8,8,0.0037255934818672264,0.2847750517702261,0.006286939000650945,153-OPRCD10005
137,8,9,0.0,0.0,0.0,153-OPRCD10005
138,8,10,0.0,0.0,0.0,153-OPRCD10005
139,8,11,0.0,0.0,0.0,153-OPRCD10005
140,8,12,0.0,0.0,0.0,153-OPRCD10005
141,8,13,0.0,0.0,0.0,153-OPRCD10005
142,8,14,0.0,0.0,0.0,153-OPRCD10005
143,8,15,0.0,0.0,0.0,153-OPRCD10005
144,9,0,0.07381332085949442,0.0,0.0,153-OPRCD10005
145,9,1,0.15321503194178968,0.0,0.0,153-OPRCD10005
146,9,2,0.20723613742886446,0.0,0.0,153-OPRCD10005
147,9,3,0.21003033254026487,0.0,0.0,153-OPRCD10005
148,9,4,0.1539135807196398,0.006752638185884348,0.0020956463335503146,153-OPRCD10005
149,9,5,0.09756397930639799,0.0,0.0,153-OPRCD10005
150,9,6,0.0051226910375674365,0.0,0.0,153-OPRCD10005
151,9,7,0.0,0.002328495926167016,0.0,153-OPRCD10005
152,9,8,0.0030270447040171215,0.2978146289567614,0.007916886148967855,153-OPRCD10005
153,9,9,0.0,0.0,0.0,153-OPRCD10005
154,9,10,0.0,0.0,0.0,153-OPRCD10005
155,9,11,0.0,0.0,0.0,153-OPRCD10005
156,9,12,0.0,0.0,0.0,153-OPRCD10005
157,9,13,0.0,0.0,0.0,153-OPRCD10005
158,9,14,0.0,0.0,0.0,153-OPRCD10005
159,9,15,0.0,0.0,0.0,153-OPRCD10005
160,10,0,0.0,0.0,0.0,153-OPRCD10005
161,10,1,0.0,0.0,0.0,153-OPRCD10005
162,10,2,0.0,0.0,0.0,153-OPRCD10005
163,10,3,0.0,0.0,0.0,153-OPRCD10005
164,10,4,0.05215830874614117,0.0,0.0,153-OPRCD10005
165,10,5,0.11246635323386689,0.0,0.0,153-OPRCD10005
166,10,6,0.1844168773524277,0.016066621890552413,0.0,153-OPRCD10005
167,10,7,0.09733112971378129,0.15228363357132288,0.0,153-OPRCD10005
168,10,8,0.17277439772159262,0.20211344639129702,0.004191292667100629,153-OPRCD10005
169,10,9,0.09709828012116459,0.0,0.0,153-OPRCD10005
170,10,10,0.003259894296633823,0.0,0.0,153-OPRCD10005
171,10,11,0.0,0.0,0.0,153-OPRCD10005
172,10,12,0.0,0.0,0.0,153-OPRCD10005
173,10,13,0.0,0.0,0.0,153-OPRCD10005
174,10,14,0.0,0.0,0.0,153-OPRCD10005
175,10,15,0.0,0.0,0.0,153-OPRCD10005
176,11,0,0.0,0.0,0.0,153-OPRCD10005
177,11,1,0.0,0.0,0.0,153-OPRCD10005
178,11,2,0.0,0.0,0.0,153-OPRCD10005
179,11,3,0.0,0.0,0.0,153-OPRCD10005
180,11,4,0.0,0.0,0.0,153-OPRCD10005
181,11,5,0.0,0.0,0.0,153-OPRCD10005
182,11,6,0.0,0.0,0.0,153-OPRCD10005
183,11,7,0.020490764150269746,0.19349801146447906,0.0,153-OPRCD10005
184,11,8,0.16439181238739137,0.009546833297284767,0.0,153-OPRCD10005
185,11,9,0.11689049549358423,0.0,0.0,153-OPRCD10005
186,11,10,0.20700328783624777,0.0,0.0,153-OPRCD10005
187,11,11,0.20840038539194797,0.0020956463335503146,0.0,153-OPRCD10005
188,11,12,0.21003033254026487,0.0,0.0,153-OPRCD10005
189,11,13,0.11526054834526732,0.0,0.0,153-OPRCD10005
190,11,14,0.029339048669704406,0.0,0.0,153-OPRCD10005
191,11,15,0.0,0.0,0.0,153-OPRCD10005
192,12,0,0.0,0.0,0.0,153-OPRCD10005
193,12,1,0.0,0.0,0.0,153-OPRCD10005
194,12,2,0.0,0.0,0.0,153-OPRCD10005
195,12,3,0.0,0.0,0.0,153-OPRCD10005
196,12,4,0.0,0.0,0.0,153-OPRCD10005
197,12,5,0.0,0.0,0.0,153-OPRCD10005
198,12,6,0.000698548777850105,0.0,0.0,153-OPRCD10005
199,12,7,0.2614900925085559,0.1439010482371216,0.0,153-OPRCD10005
200,12,8,0.012341028408685187,0.0,0.0,153-OPRCD10005
201,12,9,0.0,0.0,0.0,153-OPRCD10005
202,12,10,0.0,0.0,0.0,153-OPRCD10005
203,12,11,0.0,0.0,0.0,153-OPRCD10005
204,12,12,0.005355540630184138,0.0,0.0,153-OPRCD10005
205,12,13,0.09733112971378129,0.0,0.0,153-OPRCD10005
206,12,14,0.18953956838999514,0.004889841444950735,0.0,153-OPRCD10005
207,12,15,0.10711081260368276,0.007684036556351154,0.0,153-OPRCD10005
208,13,0,0.0,0.0,0.0,153-OPRCD10005
209,13,1,0.0,0.0,0.0,153-OPRCD10005
210,13,2,0.0,0.0,0.0,153-OPRCD10005
211,13,3,0.0,0.0,0.0,153-OPRCD10005
212,13,4,0.0,0.0,0.0,153-OPRCD10005
213,13,5,0.0,0.0,0.0,153-OPRCD10005
214,13,6,0.113164902011717,0.04656991852334033,0.051692609560907765,153-OPRCD10005
215,13,7,0.16462466198000805,0.04913126404212405,0.0,153-OPRCD10005
216,13,8,0.0,0.0,0.0,153-OPRCD10005
217,13,9,0.0,0.0,0.0,153-OPRCD10005
218,13,10,0.0,0.0,0.0,153-OPRCD10005
219,13,11,0.0,0.0,0.0,153-OPRCD10005
220,13,12,0.0,0.0,0.0,153-OPRCD10005
221,13,13,0.0,0.0,0.0,153-OPRCD10005
222,13,14,0.0,0.0,0.0,153-OPRCD10005
223,13,15,0.0,0.0,0.0,153-OPRCD10005
224,14,0,0.0,0.0,0.0,153-OPRCD10005
225,14,1,0.0,0.0,0.0,153-OPRCD10005
226,14,2,0.0,0.0,0.0,153-OPRCD10005
227,14,3,0.0,0.0,0.0,153-OPRCD10005
228,14,4,0.0,0.0,0.0,153-OPRCD10005
229,14,5,0.0,0.00279419511140042,0.01001253248251817,153-OPRCD10005
230,14,6,0.19442940983494586,0.029339048669704406,0.12131463775330155,153-OPRCD10005
231,14,7,0.12364313367946857,0.0,0.0,153-OPRCD10005
232,14,8,0.11758904427143432,0.0,0.0,153-OPRCD10005
233,14,9,0.12061608897545145,0.0,0.0,153-OPRCD10005
234,14,10,0.11712334508620093,0.0,0.0,153-OPRCD10005
235,14,11,0.11689049549358423,0.0,0.0,153-OPRCD10005
236,14,12,0.12294458490161847,0.0,0.0,153-OPRCD10005
237,14,13,0.0,0.0,0.0,153-OPRCD10005
238,14,14,0.0,0.0,0.0,153-OPRCD10005
239,14,15,0.0,0.0,0.0,153-OPRCD10005
240,15,0,0.0,0.0,0.0,153-OPRCD10005
241,15,1,0.0,0.0,0.0,153-OPRCD10005
242,15,2,0.0,0.0,0.0,153-OPRCD10005
243,15,3,0.0,0.0,0.0,153-OPRCD10005
244,15,4,0.0,0.0,0.0,153-OPRCD10005
245,15,5,0.0,0.026312003965687284,0.04889841444950734,153-OPRCD10005
246,15,6,0.07497756882257793,0.0004656991852334033,0.0004656991852334033,153-OPRCD10005
247,15,7,0.0,0.0,0.0,153-OPRCD10005
248,15,8,0.0,0.0,0.0,153-OPRCD10005
249,15,9,0.0,0.0,0.0,153-OPRCD10005
250,15,10,0.0,0.0,0.0,153-OPRCD10005
251,15,11,0.0,0.0,0.0,153-OPRCD10005
252,15,12,0.061472292450809235,0.0,0.0,153-OPRCD10005
253,15,13,0.0,0.0,0.0,153-OPRCD10005
254,15,14,0.0,0.0,0.0,153-OPRCD10005
255,15,15,0.0,0.0,0.0,153-OPRCD10005
